Shaft Encoder(cm),Axial_Sig,Radial_Sig,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32
2347.8251,1733.85,675.76,1023.44,1023.44,898.44,1000,984.38,1007.81,1023.44,984.38,1039.06,953.13,1054.69,1085.94,1960.94,1117.19,1992.19,992.19,1070.31,1062.5,1968.75,1031.25,960.94,960.94,960.94,968.75,960.94,976.56,984.38,882.81,929.69,976.56,984.38,968.75
2348.469,1733.35,674.4,1031.25,1015.63,898.44,1000,984.38,1015.63,1031.25,976.56,1039.06,960.94,1054.69,1078.13,1968.75,1117.19,1992.19,1000,1070.31,1062.5,1914.06,1039.06,953.13,960.94,960.94,968.75,976.56,976.56,984.38,890.63,921.88,976.56,984.38,976.56
2348.6205,1736.49,673.21,1023.44,1023.44,898.44,1007.81,992.19,1015.63,1023.44,976.56,1046.88,960.94,1054.69,1085.94,1968.75,1117.19,1992.19,1000,1062.5,1062.5,1914.06,1031.25,960.94,960.94,953.13,976.56,960.94,976.56,984.38,882.81,929.69,976.56,984.38,968.75
2348.8477,1736.87,671.69,1023.44,1015.63,898.44,1007.81,1000,1015.63,1015.63,984.38,1039.06,945.31,1062.5,1078.13,1953.13,1117.19,1992.19,984.38,1062.5,1070.31,1906.25,1031.25,953.13,960.94,960.94,968.75,968.75,976.56,984.38,882.81,929.69,984.38,976.56,968.75
2349.8324,1734.08,669.89,1031.25,1023.44,898.44,1000,992.19,1007.81,1023.44,976.56,1039.06,960.94,1062.5,1085.94,1960.94,1117.19,1992.19,992.19,1070.31,1054.69,1914.06,1023.44,953.13,960.94,960.94,976.56,968.75,976.56,984.38,882.81,921.88,976.56,976.56,968.75
2350.2112,1733.65,667.38,1031.25,1023.44,906.25,1007.81,992.19,1015.63,1015.63,984.38,1039.06,953.13,1054.69,1085.94,1960.94,1117.19,1992.19,992.19,1062.5,1070.31,1914.06,1031.25,960.94,953.13,960.94,968.75,960.94,984.38,984.38,882.81,921.88,976.56,984.38,968.75
2350.552,1735.38,667.94,1023.44,1023.44,898.44,1000,992.19,1015.63,1023.44,984.38,1039.06,960.94,1062.5,1093.75,1968.75,1117.19,1992.19,1000,1070.31,1062.5,1914.06,1023.44,960.94,953.13,953.13,976.56,968.75,984.38,984.38,890.63,921.88,984.38,992.19,976.56
2350.8171,1737.51,668.89,1031.25,1031.25,906.25,1000,992.19,1007.81,1023.44,976.56,1039.06,953.13,1070.31,1093.75,1976.56,1117.19,1992.19,992.19,1070.31,1062.5,1953.13,1023.44,960.94,960.94,953.13,976.56,960.94,976.56,984.38,890.63,929.69,976.56,976.56,968.75
2351.2337,1738.02,669.27,1023.44,1023.44,898.44,1000,1000,1015.63,1023.44,984.38,1031.25,953.13,1054.69,1078.13,1960.94,1125,1992.19,992.19,1070.31,1054.69,1914.06,1031.25,960.94,960.94,960.94,976.56,968.75,976.56,984.38,882.81,929.69,984.38,976.56,976.56
2352.2563,1736.16,670.53,1023.44,1015.63,890.63,1007.81,1000,1015.63,1023.44,984.38,1039.06,953.13,1054.69,1078.13,1968.75,1117.19,1992.19,992.19,1062.5,1062.5,1937.5,1031.25,960.94,960.94,960.94,976.56,968.75,976.56,984.38,882.81,929.69,976.56,984.38,968.75
